,DateOfBirth,DateOfDeath,FirstName,GenderAsString,ID,Language,LastName,MaritalStatus,MaritalStatusText,MilitaryRank,MilitaryRankText,Modified,NativeLanguage,NumberOfChildren,OfficialName,PersonIdCode,PersonNumber,PlaceOfBirthCanton,PlaceOfBirthCity,Title,TitleText
25,1938-07-10T00:00:00,,Cyrill,m,29,FR,Brügger,,,,,2015-05-17T21:18:19.387,,,Brügger Cyrill,2025,29,,,,
26,1947-03-23T00:00:00,,Christiane,f,30,FR,Brunner,2,marié(e),,,2015-05-17T21:18:19.387,F,,Brunner Christiane,2275,30,Genève,Genève 8,3,lic. en droit
27,1928-09-21T00:00:00,,Robert,m,31,FR,Bühler,,,,,2015-05-17T21:18:19.387,D,,Bühler Robert,2250,31,,,,
28,1942-03-10T00:00:00,,Simeon,m,32,FR,Bühler,,,,,2015-05-17T21:18:19.387,,,Bühler Simeon,2026,32,,,,
29,1949-12-03T00:00:00,,Cécile,f,33,FR,Bühlmann,,,,,2015-05-17T21:18:19.387,D,,Bühlmann Cécile,2276,33,Lucerne,Sempach,,
30,1948-06-23T00:00:00,,Gerold,m,34,FR,Bührer,2,marié(e),11,Capitaine,2015-05-17T21:18:19.387,D,2,Bührer Gerold,2277,34,Schaffhouse,Hofen,17,lic. oec. publ.
31,1932-10-19T00:00:00,,Martin,m,35,FR,Bundi,,,,,2015-05-17T21:18:19.387,D,,Bundi,2027,35,,,,
32,1934-09-06T00:00:00,,Jakob,m,36,FR,Bürgi,,,,,2015-05-17T21:18:19.387,D,,Bürgi Jakob,2029,36,,,,
33,1950-06-27T00:00:00,,Rolf,m,37,FR,Büttiker,1,célibataire,,,2015-05-17T21:18:19.387,D,,Büttiker,2030,37,Soleure,Wolfwil,156,dipl. Naturwissenschafter
34,1942-01-03T00:00:00,,Fulvio,m,38,FR,Caccia,2,marié(e),,,2015-05-17T21:18:19.387,I,3,Caccia,2031,38,Tessin,Cadenazzo,84,Dr. sc. te.
35,1936-11-10T00:00:00,,Werner,m,39,FR,Carobbio,2,marié(e),,,2015-05-17T21:18:19.387,I,3,Carobbio,2032,39,Tessin,Mendrisio,,
36,1949-12-03T00:00:00,,Elisabeth,f,40,FR,Caspar-Hutter,,,,,2015-05-17T21:18:19.387,,,Caspar-Hutter,2279,40,,,,
37,1936-07-27T00:00:00,2013-01-09T00:00:00,Jean,m,41,FR,Cavadini,,,3,Caporal,2015-05-17T21:18:19.387,F,,Cavadini Jean,2204,41,Neuchâtel,Neuchâtel,35,lic. ès lettres
38,1942-06-27T00:00:00,,Adriano,m,42,FR,Cavadini,,,,,2015-05-17T21:18:19.387,I,2,Cavadini Adriano,2033,42,Tessin,Sorengo,24,Dr. sc. éc.
39,1935-04-01T00:00:00,,Luregn Mathias,m,43,FR,Cavelty,,,,,2015-05-17T21:18:19.387,D,,Cavelty,2205,43,,,,
40,1946-05-12T00:00:00,,Olivier,m,44,FR,Chevallaz,,,,,2015-05-17T21:18:19.387,F,,Chevallaz Olivier,2280,44,,,,
41,1928-05-14T00:00:00,2004-10-30T00:00:00,Ernst,m,45,FR,Cincera,,,,,2015-05-17T21:18:19.387,D,,Cincera,2035,45,,,,
42,1941-10-07T00:00:00,,Dumeni,m,46,FR,Columberg,2,marié(e),,,2015-05-17T21:18:19.387,D,1,Columberg,2036,46,Grisons,Ilanz,23,Dr. oec. HSG
43,1939-02-20T00:00:00,,Bernard,m,47,FR,Comby,2,marié(e),1,Soldat,2015-05-17T21:18:19.387,F,2,Comby,2281,47,Valais,Saxon,24,Dr. sc. éc.
44,1929-11-03T00:00:00,,Gianfranco,m,48,FR,Cotti,,,,,2015-05-17T21:18:19.387,I,,Cotti Gianfranco,2037,48,,,,
45,1943-12-04T00:00:00,2006-11-03T00:00:00,Anton,m,49,FR,Cottier,2,marié(e),11,Capitaine,2015-05-17T21:18:19.387,F,3,Cottier Anton,2206,49,Fribourg,Bellegarde,3,lic. en droit
46,1942-04-05T00:00:00,,Pascal,m,50,FR,Couchepin,2,marié(e),11,Capitaine,2015-05-17T21:18:19.387,F,3,Couchepin Pascal,2038,50,Valais,Martigny,25,Avocat et notaire
47,1936-03-11T00:00:00,,Gilbert,m,51,FR,Coutau,,,,,2015-05-17T21:18:19.387,F,,Coutau,2039,51,,,,
48,1938-08-20T00:00:00,,Susanna,f,52,FR,Daepp-Heiniger,,,,,2015-05-17T21:18:19.387,,,Daepp,2247,52,,,,
49,1931-05-25T00:00:00,,Hans,m,53,FR,Danioth,2,marié(e),11,Capitaine,2015-05-17T21:18:19.387,D,2,Danioth Hans,2207,53,Uri,Andermatt,115,lic. iur.
50,1951-07-31T00:00:00,2011-09-03T00:00:00,Menga,f,54,FR,Danuser,,,,,2015-05-17T21:18:19.387,D,,Danuser,2040,54,,,,
51,1929-05-19T00:00:00,,Vital,m,55,FR,Darbellay,,,,,2015-05-17T21:18:19.387,F,,Darbellay,2041,55,,,,
52,1943-11-04T00:00:00,,Jean-Nils,m,56,FR,de Dardel,2,marié(e),,,2015-05-17T21:18:19.387,F,2,de Dardel Jean-Nils,2282,56,Neuchâtel,Neuchâtel,3,lic. en droit
53,1945-09-03T00:00:00,,Eugen,m,57,FR,David,2,marié(e),10,Premier-lieutenant,2015-05-17T21:18:19.387,D,,David,2042,57,St-Gall,St. Gall,6,Dr. iur.
54,1946-01-18T00:00:00,,Joseph,m,58,FR,Deiss,2,marié(e),,,2016-04-07T08:48:06.183,F,3,Deiss,2283,58,Fribourg,Fribourg,27,Professeur
55,1936-11-06T00:00:00,,Edouard,m,59,FR,Delalay,2,marié(e),,,2015-05-17T21:18:19.387,F,2,Delalay,2208,59,Valais,St-Léonard,,
56,1943-06-05T00:00:00,,Toni,m,60,FR,Dettling,2,marié(e),,,2015-05-17T21:18:19.387,D,2,Dettling,2284,60,Schwyz,Schwyz,28,lic. rer. publ.
57,1949-03-27T00:00:00,,Verena,f,61,FR,Diener Lenz,2,marié(e),,,2015-05-17T21:18:19.387,D,,Diener Lenz,2044,61,Zurich,Zurich,,
58,1947-03-27T00:00:00,,Rosmarie,f,63,FR,Dormann,1,célibataire,,,2015-05-17T21:18:19.387,D,,Dormann Rosmarie,2046,63,Lucerne,Lucerne,85,Amtsrichterin
59,1944-01-08T00:00:00,,Michael E.,m,64,FR,Dreher,2,marié(e),11,Capitaine,2015-05-17T21:18:19.387,D,,Dreher,2047,64,Schaffhouse,Schaffhouse,6,Dr. iur.
60,1943-02-25T00:00:00,,Dominique,m,65,FR,Ducret,,,,,2015-05-17T21:18:19.387,F,,Ducret Dominique,2210,65,,,,
61,1932-06-05T00:00:00,2011-10-27T00:00:00,Max,m,66,FR,Dünki,2,marié(e),2,Appointé,2015-05-17T21:18:19.387,D,2,Dünki,2049,66,Zurich,Winterthur,,
62,1938-09-12T00:00:00,,Pierre,m,67,FR,Duvoisin,,,,,2015-05-17T21:18:19.387,F,,Duvoisin,2285,67,,,,
63,1928-09-22T00:00:00,2010-12-01T00:00:00,Georges,m,69,FR,Eggenberger,,,,,2015-05-17T21:18:19.387,D,,Eggenberger Georges,2258,69,,,,
64,1942-09-04T00:00:00,,Jacques-Simon,m,70,FR,Eggly,2,marié(e),,,2015-05-17T21:18:19.387,F,3,Eggly,2051,70,Genève,Genève 8,3,lic. en droit
65,1951-08-03T00:00:00,,Rolf,m,71,FR,Engler,2,marié(e),,,2015-05-17T21:18:19.387,D,3,Engler,2053,71,Appenzell Rh.-Int.,Appenzell,115,lic. iur.
66,1950-02-12T00:00:00,,Simon,m,72,FR,Epiney,2,marié(e),1,Soldat,2015-05-17T21:18:19.387,F,3,Epiney,2286,72,Valais,Sierre,3,lic. en droit
67,1945-02-12T00:00:00,1993-11-20T00:00:00,Pierre,m,73,FR,Etique,,,,,2015-05-17T21:18:19.387,F,,Etique,2055,73,,,,
68,1951-01-15T00:00:00,,Christoph,m,74,FR,Eymann,2,marié(e),11,Capitaine,2016-06-06T10:33:30.207,D,3,Eymann,2287,74,Bâle-Ville,Bâle,6,Dr. iur.
69,1936-07-25T00:00:00,,Angeline,f,75,FR,Fankhauser,4,divorcé(e),,,2015-05-17T21:18:19.387,D,2,Fankhauser,2058,75,Vaud,La Rippe,,
70,1955-10-04T00:00:00,,Hugo,m,76,FR,Fasel,2,marié(e),1,Soldat,2015-05-17T21:18:19.387,D,2,Fasel,2288,76,Fribourg,Alterswil,50,lic. rer. pol.
71,1938-04-14T00:00:00,,Lisbeth,f,77,FR,Fehr,2,marié(e),,,2015-05-17T21:18:19.387,D,1,Fehr Lisbeth,2289,77,Zurich,Winterthur,,
72,1944-12-30T00:00:00,,Margrith,f,78,FR,von Felten,5,veuf/veuve,,,2015-05-17T21:18:19.387,D,2,von Felten,2290,78,Bâle-Ville,Bâle,115,lic. iur.
73,1937-12-25T00:00:00,,Theo,m,79,FR,Fischer,1,célibataire,,,2015-05-17T21:18:19.387,D,,Fischer-Hägglingen,2064,79,Argovie,Hägglingen,214,-
74,1930-02-15T00:00:00,,Theo,m,80,FR,Fischer,,,,,2015-05-17T21:18:19.387,D,,Fischer-Sursee,2063,80,Lucerne,Triengen,,
75,1940-02-02T00:00:00,,Ulrich,m,81,FR,Fischer,3,séparé(e),10,Premier-lieutenant,2015-05-17T21:18:19.387,D,1,Fischer Ulrich,2065,81,Berne,Berne,115,lic. iur.
76,1940-02-04T00:00:00,,Michel,m,82,FR,Flückiger,,,,,2015-05-17T21:18:19.387,F,,Flückiger Michel,2211,82,,,,
77,1943-07-16T00:00:00,,Claude,m,83,FR,Frey,,,,,2015-05-17T21:18:19.387,F,,Frey Claude,2066,83,Neuchâtel,La Chaux-de-Fonds,122,lic. ès sc. écon.
78,1943-07-30T00:00:00,,Walter,m,84,FR,Frey,2,marié(e),11,Capitaine,2015-05-17T21:18:19.387,D,3,Frey Walter,2067,84,Zurich,Zurich,,
79,1953-05-31T00:00:00,,Bruno,m,85,FR,Frick,,,14,Colonel,2015-05-17T21:18:19.387,D,,Frick,2338,85,St-Gall,Wittenbach,115,lic. iur.
80,1939-02-25T00:00:00,2016-01-08T00:00:00,Oscar,m,86,FR,Fritschi,1,célibataire,14,Colonel,2016-01-11T16:49:43.417,D,,Fritschi Oscar,2291,86,Zurich,Winterthur,38,Dr. phil. I
81,1936-04-23T00:00:00,,Hans-Rudolf,m,87,FR,Früh,,,,,2015-05-17T21:18:19.387,D,,Früh,2069,87,,,,
82,1931-07-24T00:00:00,2016-10-02T00:00:00,Ulrich,m,88,FR,Gadient,,,,,2016-10-10T09:42:23.773,D,,Gadient Ulrich,2212,88,,,,
83,1937-09-25T00:00:00,,Irène,f,89,FR,Gardiol,,,,,2015-05-17T21:18:19.387,F,,Gardiol,2253,89,,,,
84,1930-01-05T00:00:00,2015-02-23T00:00:00,Paul,m,90,FR,Gemperli,,,14,Colonel,2015-05-17T21:18:19.387,D,,Gemperli Paul,2339,90,Appenzell Rh.-Ext.,Herisau,115,lic. iur.
85,1953-10-31T00:00:00,,Ulrich,m,91,FR,Giezendanner,5,veuf/veuve,1,Soldat,2015-11-12T11:22:55.563,D,3,Giezendanner,2292,91,Argovie,Rothrist,,
86,1932-02-04T00:00:00,,Titus,m,92,FR,Giger,,,,,2015-05-17T21:18:19.387,D,,Giger,2070,92,,,,
87,1943-10-12T00:00:00,,Alexis,m,93,FR,Gobet,,,,,2015-05-17T21:18:19.387,F,,Gobet,2293,93,,,,
88,1956-12-10T00:00:00,,Christine,f,94,FR,Goll,2,marié(e),,,2015-05-17T21:18:19.387,D,2,Goll,2294,94,Zurich,Zurich,214,-
89,1943-05-31T00:00:00,,Ruth,f,95,FR,Gonseth,4,divorcé(e),,,2015-05-17T21:18:19.387,D,1,Gonseth,2295,95,Argovie,Muri,39,Dr. med.
90,1939-02-16T00:00:00,,Verena,f,96,FR,Grendelmeier,1,célibataire,,,2015-05-17T21:18:19.387,D,,Grendelmeier Verena,2073,96,Zurich,Zurich,,
91,1952-08-21T00:00:00,,Andreas,m,97,FR,Gross,4,divorcé(e),1,Soldat,2015-06-16T08:18:48.097,D,2,Gross Andreas,2296,97,,Kobe,134,lic. ès sc. pol.
92,1936-09-13T00:00:00,,Ruth,f,98,FR,Grossenbacher-Schmid,2,marié(e),,,2015-05-17T21:18:19.387,D,1,Grossenbacher,2266,98,,Kapstadt,,
93,1943-02-21T00:00:00,,Jean,m,99,FR,Guinand,,,,,2015-05-17T21:18:19.387,F,,Guinand Jean,2075,99,,,,
94,1940-12-29T00:00:00,,Hans Rudolf,m,100,FR,Gysin,2,marié(e),,,2015-05-17T21:18:19.387,D,1,Gysin,2077,100,Bâle-Ville,Bâle,214,-
95,1953-09-20T00:00:00,,Barbara,f,101,FR,Haering,,,,,2015-05-17T21:18:19.387,D,1,Haering,2254,101,,Montréal,48,Dr. sc. nat.
96,1951-12-27T00:00:00,,Rudolf,m,102,FR,Hafner,,,,,2015-05-17T21:18:19.387,,,Hafner Rudolf,2078,102,,,,
97,1943-06-10T00:00:00,,Ursula,f,103,FR,Hafner,2,marié(e),,,2015-05-17T21:18:19.387,D,,Hafner Ursula,2079,103,Schaffhouse,Merishausen,38,Dr. phil. I
98,1947-10-01T00:00:00,,Gret,f,104,FR,Haller,,,,,2015-05-17T21:18:19.387,D,,Haller Gret,2080,104,,,,
99,1946-11-09T00:00:00,,Andrea,m,105,FR,Hämmerle,2,marié(e),,,2015-05-17T21:18:19.387,D,2,Hämmerle,2298,105,Grisons,Pratval,6,Dr. iur.
100,1928-02-18T00:00:00,,Fritz,m,106,FR,Hari,,,,,2015-05-17T21:18:19.387,D,,Hari,2082,106,,,,
101,1942-07-17T00:00:00,,Trix,f,107,FR,Heberlein,2,marié(e),,,2015-05-17T21:18:19.387,D,2,Heberlein,2267,107,St-Gall,St. Gall,115,lic. iur.
102,1937-12-03T00:00:00,,Rolf,m,108,FR,Hegetschweiler,2,marié(e),1,Soldat,2015-05-17T21:18:19.387,D,,Hegetschweiler,2299,108,Zurich,Ottenbach,,
103,1947-02-11T00:00:00,,Andreas,m,109,FR,Herczog,,,,,2015-05-17T21:18:19.387,Hu,,Herczog,2083,109,,Budapest,43,dipl. Arch. ETH
104,1935-03-18T00:00:00,2014-02-17T00:00:00,Otto,m,110,FR,Hess,2,marié(e),,,2015-05-17T21:18:19.387,D,2,Hess Otto,2084,110,Thurgovie,Roggwil,,
105,1948-05-14T00:00:00,,Peter,m,111,FR,Hess,2,marié(e),12,Major,2015-05-17T21:18:19.387,D,4,Hess Peter,2085,111,Zoug,Unterägeri,6,Dr. iur.
106,1942-02-02T00:00:00,,Franz-Joseph,m,112,FR,Hildbrand,,,,,2015-05-17T21:18:19.387,D,,Hildbrand,2086,112,,,,
107,1950-09-13T00:00:00,,Pia,f,113,FR,Hollenstein,1,célibataire,,,2015-05-17T21:18:19.387,D,,Hollenstein,2300,113,St-Gall,Mosnang,,
108,1926-04-15T00:00:00,,Helmut,m,114,FR,Hubacher,2,marié(e),,,2015-05-17T21:18:19.387,D,3,Hubacher,2089,114,Berne,Krauchthal,,
109,1932-06-06T00:00:00,2008-01-07T00:00:00,Hans Jörg,m,115,FR,Huber,,,,,2015-05-17T21:18:19.387,,,Huber Hans Jörg,2216,115,,,,
110,1936-02-27T00:00:00,,Andreas,m,116,FR,Iten,2,marié(e),1,Soldat,2015-05-17T21:18:19.387,D,2,Iten Andreas,2218,116,Zoug,Unterägeri,,
111,1941-12-04T00:00:00,,Franz,m,117,FR,Jaeger,,,,,2015-05-17T21:18:19.387,,,Jaeger Franz,2092,117,,,,
112,1936-08-03T00:00:00,2016-02-28T00:00:00,Paul,m,118,FR,Jäggi,,,,,2016-03-03T18:36:24.753,,,Jäggi Paul,2301,118,,,,
113,1929-06-18T00:00:00,,Riccardo,m,119,FR,Jagmetti,,,,,2015-05-17T21:18:19.387,D,,Jagmetti,2220,119,,,,
114,1946-07-06T00:00:00,,Francine,f,120,FR,Jeanprêtre,4,divorcé(e),,,2015-05-17T21:18:19.387,F,2,Jeanprêtre,2094,120,Neuchâtel,Neuchâtel,3,lic. en droit
115,1957-09-26T00:00:00,,Peter,m,121,FR,Jenni,,,,,2015-05-17T21:18:19.387,D,,Jenni,2302,121,,,,
116,1949-05-12T00:00:00,,Werner,m,122,FR,Jöri,2,marié(e),,,2015-05-17T21:18:19.387,D,,Jöri,2303,122,Lucerne,Nebikon,47,Dr. med. dent.
117,1934-11-21T00:00:00,,Anton,m,123,FR,Keller,,,,,2015-05-17T21:18:19.387,D,,Keller Anton,2096,123,,,,
118,1956-04-17T00:00:00,,Rudolf,m,124,FR,Keller,2,marié(e),,,2015-05-17T21:18:19.387,D,1,Keller Rudolf,2304,124,Bâle-Campagne,Frenkendorf,89,Eidg. dipl. Kaufmann
119,1933-03-13T00:00:00,2015-06-02T00:00:00,Armin,m,125,FR,Kern,,,,,2015-06-08T08:31:06.593,D,,Kern Armin,2305,125,,,,
120,1941-03-03T00:00:00,,Niklaus,m,126,FR,Küchler,2,marié(e),4,Sergent,2015-05-17T21:18:19.387,D,2,Küchler,2222,126,Obwald,Alpnach,6,Dr. iur.
121,1938-10-04T00:00:00,,Josef,m,127,FR,Kühne,2,marié(e),,,2015-05-17T21:18:19.387,D,5,Kühne,2098,127,St-Gall,Rapperswil,,
122,1931-10-12T00:00:00,2011-11-13T00:00:00,Markus,m,128,FR,Kündig,,,,,2015-05-17T21:18:19.387,D,,Kündig Markus,2223,128,,,,
123,1944-04-04T00:00:00,,Elmar,m,129,FR,Ledergerber,4,divorcé(e),10,Premier-lieutenant,2015-05-17T21:18:19.387,D,3,Ledergerber,2100,129,Obwald,Engelberg,23,Dr. oec. HSG
124,1936-10-07T00:00:00,2013-06-13T00:00:00,Ursula,f,130,FR,Leemann,2,marié(e),,,2015-05-17T21:18:19.387,D,0,Leemann,2263,130,Zurich,Winterthur,48,Dr. sc. nat.
125,1950-09-04T00:00:00,,Josef,m,131,FR,Leu,2,marié(e),12,Major,2015-05-17T21:18:19.387,D,4,Leu Josef,2306,131,Lucerne,Hohenrain,49,ing. agr. HTL
126,1934-07-16T00:00:00,2004-10-22T00:00:00,Jean-François,m,132,FR,Leuba,2,marié(e),12,Major,2015-05-17T21:18:19.387,F,3,Leuba Jean-François,2101,132,Vaud,Lausanne,6,Dr. iur.
127,1945-01-18T00:00:00,2009-06-30T00:00:00,Ernst,m,133,FR,Leuenberger,2,marié(e),,,2015-05-17T21:18:19.387,D,2,Leuenberger-Solothurn,2102,133,Berne,Kräiligen,50,lic. rer. pol.
128,1946-09-21T00:00:00,,Moritz,m,134,FR,Leuenberger,2,marié(e),,,2015-05-17T21:18:19.387,D,,Leuenberger Moritz,2103,134,Berne,Bienne,,
129,1940-12-09T00:00:00,,François,m,135,FR,Loeb,2,marié(e),5,Fourrier,2015-05-17T21:18:19.387,D,2,Loeb,2104,135,Berne,Berne,51,lic. oec.
130,1934-06-15T00:00:00,,Willy,m,136,FR,Loretan,2,marié(e),14,Colonel,2015-05-17T21:18:19.387,D,2,Loretan Willy,2106,136,Bâle-Ville,Bâle,6,Dr. iur.
131,1930-02-03T00:00:00,,Herbert,m,137,FR,Maeder,,,,,2015-05-17T21:18:19.387,D,,Maeder,2108,137,,,,
132,1949-06-18T00:00:00,2006-02-01T00:00:00,Jean-Philippe,m,138,FR,Maitre,2,marié(e),,,2015-05-17T21:18:19.387,F,3,Maitre Jean-Philippe,2109,138,Genève,Genève 8,117,lic. en droit
133,1944-02-27T00:00:00,,Philippe,m,139,FR,Mamie,,,,,2015-05-17T21:18:19.387,F,,Mamie,2307,139,,,,
134,1957-04-20T00:00:00,,Werner,m,140,FR,Marti,2,marié(e),12,Major,2015-05-17T21:18:19.387,D,3,Marti Werner,2308,140,Glaris,Glaris,115,lic. iur.
135,1933-05-11T00:00:00,2005-12-02T00:00:00,Jacques,m,141,FR,Martin,2,marié(e),14,Colonel,2015-05-17T21:18:19.387,F,2,Martin Jacques,2110,141,Vaud,Chapelle-sur-Moudon,70,Ing. forestier
136,1950-01-29T00:00:00,2007-06-12T00:00:00,Flavio,m,142,FR,Maspoli,2,marié(e),,,2015-05-17T21:18:19.387,I,1,Maspoli Flavio,2309,142,Tessin,Sorengo,,
137,1942-06-17T00:00:00,,Francis,m,143,FR,Matthey,,,,,2015-05-17T21:18:19.387,F,,Matthey Francis,2113,143,,,,
138,1934-05-22T00:00:00,1995-08-02T00:00:00,Rolf,m,144,FR,Mauch,,,,,2015-05-17T21:18:19.387,,,Mauch Rolf,2114,144,,,,
139,1935-03-29T00:00:00,,Ursula,f,145,FR,Mauch,,,,,2015-05-17T21:18:19.387,,,Mauch Ursula,2115,145,,,,
140,1950-12-01T00:00:00,,Ueli,m,146,FR,Maurer,2,marié(e),12,Major,2015-05-17T21:18:19.387,D,6,Maurer Ueli,2310,146,Zurich,Wetzikon (ZH),214,-
141,1933-05-19T00:00:00,,Hans,m,147,FR,Meier,1,célibataire,11,Capitaine,2015-05-17T21:18:19.387,D,,Meier Hans,2117,147,Zurich,Uetikon am See,97,lic. phil. II
142,1926-08-31T00:00:00,2006-11-05T00:00:00,Josi J.,f,148,FR,Meier,,,,,2015-05-17T21:18:19.387,,,Meier Josi,2227,148,,,,
143,1948-06-02T00:00:00,1999-01-02T00:00:00,Samuel,m,149,FR,Meier,1,célibataire,,,2015-05-17T21:18:19.387,D,,Meier Samuel,2265,149,Argovie,Beinwil am See,,
144,1937-01-24T00:00:00,,Theo,m,150,FR,Meyer,2,marié(e),3,Caporal,2015-05-17T21:18:19.387,D,2,Meyer Theo,2261,150,Bâle-Campagne,Muttenz,43,dipl. Arch. ETH
145,1948-02-27T00:00:00,,Christian,m,151,FR,Miesch,2,marié(e),11,Capitaine,2015-05-17T21:18:19.387,D,2,Miesch,2311,151,Bâle-Campagne,Titterten,,
146,1945-08-01T00:00:00,,Marguerite,f,152,FR,Misteli,,,,,2015-05-17T21:18:19.387,,,Misteli,2312,152,,,,
147,1936-01-20T00:00:00,,Giorgio,m,153,FR,Morniroli,,,,,2015-05-17T21:18:19.387,I,,Morniroli,2340,153,,,,
148,1941-12-18T00:00:00,,René,m,154,FR,Moser,,,,,2015-05-17T21:18:19.387,D,,Moser René,2313,154,,,,
149,1929-04-22T00:00:00,2002-04-21T00:00:00,Reinhard,m,155,FR,Müller,,,,,2015-05-17T21:18:19.387,D,,Müller Reinhard,2123,155,,,,
150,1944-12-31T00:00:00,,Lili,f,156,FR,Nabholz,2,marié(e),,,2015-05-17T21:18:19.387,D,2,Nabholz,2124,156,Soleure,Soleure,6,Dr. iur.
151,1939-01-14T00:00:00,,Jean-Marc,m,157,FR,Narbel,,,,,2015-05-17T21:18:19.387,F,,Narbel,2314,157,,,,
152,1929-10-10T00:00:00,2008-03-03T00:00:00,Hans-Rudolf,m,158,FR,Nebiker,2,marié(e),10,Premier-lieutenant,2015-05-17T21:18:19.387,D,6,Nebiker,2125,158,Bâle-Campagne,Liestal,10,dipl. Ing. Agr. ETH
