,Active,AdditionalActivity,AdditionalMandate,BirthPlace_Canton,BirthPlace_City,Canton,CantonAbbreviation,CantonName,Citizenship,Council,CouncilAbbreviation,CouncilName,DateElection,DateJoining,DateLeaving,DateOath,DateOfBirth,DateOfDeath,DateResignation,FirstName,GenderAsString,ID,IdPredecessor,Language,LastName,Mandates,MaritalStatus,MaritalStatusText,MilitaryRank,MilitaryRankText,Modified,NumberOfChildren,OfficialName,ParlGroupAbbreviation,ParlGroupFunction,ParlGroupFunctionText,ParlGroupName,ParlGroupNumber,Party,PartyAbbreviation,PartyName,PersonIdCode,PersonNumber
10,false,,,,Scuol,18,GR,Grisons,"Scuol (GR),Zernez (GR)",1,CN,Conseil national,2003-10-19T00:00:00,2003-12-01T00:00:00,2007-03-04T00:00:00,2003-12-01T00:00:00,1942-06-23T00:00:00,,2007-03-04T00:00:00,Duri,m,14,,FR,Bezzola,Gemeinderat von Scuol 1983 bis 1990,2,marié(e),14,Colonel,2015-05-17T21:18:19.387,2,Bezzola Duri,,,,,,15,PLR,PLR.Les Libéraux-Radicaux,2264,14
11,false,"Präsident der Parlamentarischen Gruppe Luft- und Raumfahrt; Präsident der Parlamentarischen Gruppe Volkskultur und Volksmusik; Präsident der Parlamentarischen Gruppe Wald und Holz; Ehrenmitglied Stadtmusik Illnau-Effretikon; Ehrenmitglied Schweizer Tabakpflanzer SwissTabac, Ehrenmitglied Verein Theater Illnau; Ehrenmitglied ehemaliger Schüler der landwirtschaftlichen Schule Wülflingen",,,Illnau-Effretikon,1,ZH,Zurich,Illnau-Effretikon (ZH),1,CN,Conseil national,2011-10-23T00:00:00,2011-12-05T00:00:00,2015-11-29T00:00:00,2011-12-05T00:00:00,1947-11-26T00:00:00,,2015-11-29T00:00:00,Max,m,15,,FR,Binder,Legislative der Gemeinde (Grosser Gemeinderat): von 1985 bis 1990; Exekutive der Gemeinde: Stadtrat (Vizepräsident): seit 1990; Legislative des Kantons (Kantonsrat): von 1991 bis 1992,2,marié(e),35,--,2015-05-17T21:18:19.387,3,Binder,,,,,,13,UDC,Union Démocratique du Centre,2270,15
12,false,Präsident Aarg. Verein für Suchtprobleme,,,Wölflinswil,19,AG,Argovie,Wölflinswil (AG),1,CN,Conseil national,1995-12-04T00:00:00,1995-12-04T00:00:00,1999-12-05T00:00:00,1995-12-04T00:00:00,1939-06-01T00:00:00,,1999-12-05T00:00:00,Peter,m,16,,FR,Bircher,Grosser Rat AG von 1973 bis 1990 Präsident Regionalplanung oberes Fricktal,2,marié(e),1,Soldat,2015-05-17T21:18:19.387,2,Bircher Peter,,,,,,14,PDC,Parti démocrate-chrétien suisse,2260,16
13,false,,,,,19,AG,Argovie,"Küttigen (AG),Aarau (AG)",1,CN,Conseil national,1979-11-26T00:00:00,1979-11-26T00:00:00,1993-05-31T00:00:00,1979-11-26T00:00:00,1945-09-25T00:00:00,,1993-05-31T00:00:00,Silvio,m,17,,FR,Bircher,,,,,,2015-05-17T21:18:19.387,,Bircher Silvio,,,,,,,,,2015,17
14,false,,,,,1,ZH,Zurich,Eggersriet (SG),1,CN,Conseil national,1991-11-25T00:00:00,1991-11-25T00:00:00,1995-12-03T00:00:00,1991-11-25T00:00:00,1957-07-30T00:00:00,,1995-12-03T00:00:00,Hardi,m,18,,FR,Bischof,,,,,,2015-05-17T21:18:19.387,,Bischof Hardi,,,,,,,,,2271,18
15,false,,"1976 bis 1979 Chef LUP - Fraktion Kantonsra, 1988 bis 1992 Bankrat KB Schwyz",,Lachen,5,SZ,Schwyz,Einsiedeln (SZ),2,CE,Conseil des Etats,1995-12-04T00:00:00,1995-12-04T00:00:00,1999-12-05T00:00:00,1995-12-04T00:00:00,1942-04-27T00:00:00,,1999-12-05T00:00:00,Hans,m,19,,FR,Bisig,"Kantonsrat von 1972 bis 1984, Präsident LUP (FDP) von 1984 bis 1991",2,marié(e),10,Premier-lieutenant,2015-05-17T21:18:19.387,2,Bisig,,,,,,15,PLR,PLR.Les Libéraux-Radicaux,2336,19
16,false,,,,,6,OW,Obwald,Hofstetten b. Brienz (BE),1,CN,Conseil national,1987-11-30T00:00:00,1987-11-30T00:00:00,1995-04-20T00:00:00,1987-11-30T00:00:00,1940-12-29T00:00:00,1995-04-20T00:00:00,1995-04-20T00:00:00,Ulrich,m,20,,FR,Blatter,,,,,,2015-05-17T21:18:19.387,,Blatter,,,,,,,,,2016,20
17,false,,Präsident der SVP Kanton Zürich: von Februar 1977 bis Dezember 2003; Vizepräsident der SVP Schweiz: seit März 2008,,Laufen am Rheinfall,1,ZH,Zurich,"Schattenhalb (BE),Zurich (ZH),Meilen (ZH),Lü (GR)",1,CN,Conseil national,2011-10-23T00:00:00,2011-12-05T00:00:00,2014-05-31T00:00:00,2011-12-05T00:00:00,1940-10-11T00:00:00,,2014-05-31T00:00:00,Christoph,m,21,,FR,Blocher,"Gemeinderat Meilen: von März 1974 bis März 1978; Kantonsrat: von April 1975 bis April 1980; Nationalrat: von November 1979 bis Dezember 2003; Bundesrat: von Dezember 2003 bis Dezember 2007, Vorsteher des Eidg. Justiz- und Polizeidepartementes",2,marié(e),14,Colonel,2015-05-17T21:18:19.387,4,Blocher,,,,,,13,UDC,Union Démocratique du Centre,2017,21
18,false,,,,Brigue,23,VS,Valais,"Ferden (VS),Wiler (Lötschen) (VS),Viège (VS)",2,CE,Conseil des Etats,1991-11-25T00:00:00,1991-11-25T00:00:00,1999-12-05T00:00:00,1991-11-25T00:00:00,1933-09-16T00:00:00,,1999-12-05T00:00:00,Peter,m,22,,FR,Bloetzer,"Gemeinderat in Visp seit 1969, Gemeindepräsident in Visp seit 1977, Grossrat seit 1977",1,célibataire,14,Colonel,2015-05-17T21:18:19.387,,Bloetzer,,,,,,14,PDC,Parti démocrate-chrétien suisse,2337,22
19,false,,,,,23,VS,Valais,Lax (VS),1,CN,Conseil national,1995-12-04T00:00:00,1995-12-04T00:00:00,1997-06-05T00:00:00,1995-12-04T00:00:00,1952-03-30T00:00:00,,1997-06-05T00:00:00,Peter,m,23,,FR,Bodenmann,,,,,,2015-05-17T21:18:19.387,,Bodenmann Peter,,,,,,,,,2018,23
20,false,,,,Berne,2,BE,Berne,Chevroux (VD),1,CN,Conseil national,1995-12-04T00:00:00,1995-12-04T00:00:00,1999-12-05T00:00:00,1995-12-04T00:00:00,1931-06-20T00:00:00,,1999-12-05T00:00:00,Jean-Pierre,m,24,,FR,Bonny,"Stadtrat von Bern vom 01.01.1960 bis 31.12.1961, Gemeinderat von Bremgarten vom 01.01.1968 bis 31.12.1975, Grosser Rat von Bern vom Mai 1970 bis Mai 1974",2,marié(e),,,2015-05-17T21:18:19.387,,Bonny,,,,,,15,PLR,PLR.Les Libéraux-Radicaux,2019,24
21,false,,,,Neuchâtel,24,NE,Neuchâtel,"Neuchâtel (NE),Couvet (NE)",1,CN,Conseil national,1995-12-04T00:00:00,1995-12-04T00:00:00,1999-12-05T00:00:00,1995-12-04T00:00:00,1948-12-01T00:00:00,,1999-12-05T00:00:00,François,m,25,,FR,Borel,Grand Conseil de 1973 à 1984,,,,,2015-05-17T21:18:19.387,2,Borel François,,,,,,12,PSS,Parti socialiste suisse,2021,25
22,false,,,,Soleure,11,SO,Soleure,Le Petit Lucelle (SO),1,CN,Conseil national,2011-10-23T00:00:00,2011-12-05T00:00:00,2015-11-29T00:00:00,2011-12-05T00:00:00,1951-01-27T00:00:00,,2015-11-29T00:00:00,Roland F.,m,26,,FR,Borer,Legislative des Kantons: von 1989 bis 1991,,,12,Major,2015-05-17T21:18:19.387,,Borer,,,,,,13,UDC,Union Démocratique du Centre,2272,26
23,false,,,,,27,TI,Tessin,Gordola (TI),1,CN,Conseil national,1991-11-25T00:00:00,1991-11-25T00:00:00,1995-04-11T00:00:00,1991-11-25T00:00:00,1959-06-06T00:00:00,,1995-04-11T00:00:00,Marco,m,27,,FR,Borradori,,,,,,2015-05-17T21:18:19.387,,Borradori,,,,,,,,,2273,27
24,false,Co-Präsident der Parlamentarischen Gruppe für Behindertenfragen; Co-Präsident der Parlamentarischen Gruppe für Altersfragen,,,Affoltern am Albis,1,ZH,Zurich,Affoltern am Albis (ZH),1,CN,Conseil national,2011-10-23T00:00:00,2011-12-05T00:00:00,2015-11-29T00:00:00,2011-12-05T00:00:00,1947-02-16T00:00:00,,2015-11-29T00:00:00,Toni,m,28,,FR,Bortoluzzi,Exekutive der Gemeinde (Gemeinderat): von 1982 bis 1986; Gemeindepräsident: von 1986 bis 1998; Legislative des Kantons (Kantonsrat): von 1984 bis 1991,2,marié(e),,,2015-05-17T21:18:19.387,4,Bortoluzzi,,,,,,13,UDC,Union Démocratique du Centre,2274,28
25,false,,,,,10,FR,Fribourg,Saint-Antoine (FR),1,CN,Conseil national,1987-09-21T00:00:00,1987-09-21T00:00:00,1995-12-03T00:00:00,1987-09-21T00:00:00,1938-07-10T00:00:00,,1995-12-03T00:00:00,Cyrill,m,29,,FR,Brügger,,,,,,2015-05-17T21:18:19.387,,Brügger Cyrill,,,,,,,,,2025,29
26,false,,Présidente du Parti socialiste suisse: octobre 2000 - 6 mars 2004,,Genève 8,25,GE,Genève,Egg (ZH),2,CE,Conseil des Etats,2003-10-19T00:00:00,2003-12-01T00:00:00,2007-12-02T00:00:00,2003-12-01T00:00:00,1947-03-23T00:00:00,,2007-12-02T00:00:00,Christiane,f,30,,FR,Brunner,Législatif cantonal de 1981 à 1990,2,marié(e),,,2015-05-17T21:18:19.387,,Brunner Christiane,,,,,,,,,2275,30
27,false,,,,,3,LU,Lucerne,"Lucerne (LU),Grosswangen (LU)",2,CE,Conseil des Etats,1989-06-19T00:00:00,1989-06-19T00:00:00,1995-12-03T00:00:00,1989-06-19T00:00:00,1928-09-21T00:00:00,,1995-12-03T00:00:00,Robert,m,31,,FR,Bühler,,,,,,2015-05-17T21:18:19.387,,Bühler Robert,,,,,,,,,2250,31
28,false,,,,,18,GR,Grisons,Tschappina (GR),1,CN,Conseil national,1980-03-03T00:00:00,1980-03-03T00:00:00,1994-12-31T00:00:00,1980-03-03T00:00:00,1942-03-10T00:00:00,,1994-12-31T00:00:00,Simeon,m,32,,FR,Bühler,,,,,,2015-05-17T21:18:19.387,,Bühler Simeon,,,,,,,,,2026,32
29,false,,,,Sempach,3,LU,Lucerne,Sempach (LU),1,CN,Conseil national,2003-10-19T00:00:00,2003-12-01T00:00:00,2006-03-05T00:00:00,2003-12-01T00:00:00,1949-12-03T00:00:00,,2006-03-05T00:00:00,Cécile,f,33,,FR,Bühlmann,Grosser Stadtrat Luzern von Juni 1991 bis November 1991,,,,,2015-05-17T21:18:19.387,,Bühlmann Cécile,,,,,,20,PES,Parti écologiste suisse,2276,33
30,false,,Präsident der FDP Schweiz vom April 2001 bis November 2002,,Hofen,14,SH,Schaffhouse,"Bibern (SH),Hofen (SH)",1,CN,Conseil national,2003-10-19T00:00:00,2003-12-01T00:00:00,2007-12-02T00:00:00,2003-12-01T00:00:00,1948-06-23T00:00:00,,2007-12-02T00:00:00,Gerold,m,34,,FR,Bührer,Grosser Rat des Kantons SH von 1982 bis 1991,2,marié(e),11,Capitaine,2015-05-17T21:18:19.387,2,Bührer Gerold,,,,,,,,,2277,34
31,false,,,,,18,GR,Grisons,Sagogn (GR),1,CN,Conseil national,1975-12-01T00:00:00,1975-12-01T00:00:00,1995-12-03T00:00:00,1975-12-01T00:00:00,1932-10-19T00:00:00,,1995-12-03T00:00:00,Martin,m,35,,FR,Bundi,,,,,,2015-05-17T21:18:19.387,,Bundi,,,,,,,,,2027,35
32,false,,,,,5,SZ,Schwyz,Feusisberg (SZ),1,CN,Conseil national,1987-11-30T00:00:00,1987-11-30T00:00:00,1995-12-03T00:00:00,1987-11-30T00:00:00,1934-09-06T00:00:00,,1995-12-03T00:00:00,Jakob,m,36,,FR,Bürgi,,,,,,2015-05-17T21:18:19.387,,Bürgi Jakob,,,,,,,,,2029,36
33,false,,Präsident der FDP des Kantons Solothurn von 1990 bis 1999,,Wolfwil,11,SO,Soleure,Wolfwil (SO),2,CE,Conseil des Etats,2007-10-21T00:00:00,2007-12-03T00:00:00,2011-12-04T00:00:00,2007-12-03T00:00:00,1950-06-27T00:00:00,,2011-12-04T00:00:00,Rolf,m,37,,FR,Büttiker,Exekutive der Gemeinde: Gemeinderat Wolfwil von 1977 bis 2001; Gemeindepräsident Wolfwil von 1985 bis 2001; Legislative des Kantons: Verfassungsrat Kanton Solothurn von 1981 bis 1987,1,célibataire,,,2015-05-17T21:18:19.387,,Büttiker,,,,,,15,PLR,PLR.Les Libéraux-Radicaux,2030,37
34,false,,Presidente comm. Fed. Energia 1979 al 1988,,Cadenazzo,27,TI,Tessin,Cadenazzo (TI),1,CN,Conseil national,1995-12-04T00:00:00,1995-12-04T00:00:00,1998-11-28T00:00:00,1995-12-04T00:00:00,1942-01-03T00:00:00,,1998-11-28T00:00:00,Fulvio,m,38,,FR,Caccia,"Législatif communal dal 1964 al 1970
Exécutif communal dal 1964 al 1977
Exécutif cantonal Consigliere di Stato dal 1977 al 1987",2,marié(e),,,2015-05-17T21:18:19.387,3,Caccia,,,,,,,,,2031,38
35,false,"Alcune pubblicazioni in economia, lezioni e corsi in scuole diverse e università",Vedi registro interessi,,Mendrisio,27,TI,Tessin,Mendrisio (TI),1,CN,Conseil national,1975-12-01T00:00:00,1975-12-01T00:00:00,1999-12-05T00:00:00,1975-12-01T00:00:00,1936-11-10T00:00:00,,1999-12-05T00:00:00,Werner,m,39,,FR,Carobbio,"Comune di Pregassona dal 1971 al 1986, Gran Consiglio Canton Ticino dal 1975 al 1988",2,marié(e),,,2015-05-17T21:18:19.387,3,Carobbio,,,,,,,,,2032,39
36,false,,,,,17,SG,St-Gall,Schmitten (GR),1,CN,Conseil national,1991-11-25T00:00:00,1991-11-25T00:00:00,1995-12-03T00:00:00,1991-11-25T00:00:00,1949-12-03T00:00:00,,1995-12-03T00:00:00,Elisabeth,f,40,,FR,Caspar-Hutter,,,,,,2015-05-17T21:18:19.387,,Caspar-Hutter,,,,,,,,,2279,40
37,false,"Président de l'Association Suisse de l'Industrie gazière, Président de la convention patronale de l'horlogerie",,,Neuchâtel,24,NE,Neuchâtel,"Chiasso (TI),Noiraigue (NE)",2,CE,Conseil des Etats,1987-11-30T00:00:00,1987-11-30T00:00:00,1999-12-05T00:00:00,1987-11-30T00:00:00,1936-07-27T00:00:00,2013-01-09T00:00:00,1999-12-05T00:00:00,Jean,m,41,,FR,Cavadini,"Exécutif communal Neuchâtel, Législatif cantonal Neuchâtel, Exécutif cantonal Nechâtel",,,3,Caporal,2015-05-17T21:18:19.387,,Cavadini Jean,,,,,,16,PLD,Parti libéral démocrate,2204,41
38,false,,vedi registro interessi,,Sorengo,27,TI,Tessin,Mendrisio (TI),1,CN,Conseil national,1995-12-04T00:00:00,1995-12-04T00:00:00,1999-12-05T00:00:00,1995-12-04T00:00:00,1942-06-27T00:00:00,,1999-12-05T00:00:00,Adriano,m,42,,FR,Cavadini,"Cumune di Pregassona del 1971 al 1986, Gran Consiglio Canton Ticino del 1975 al 1988",,,,,2015-05-17T21:18:19.387,2,Cavadini Adriano,,,,,,15,PLR,PLR.Les Libéraux-Radicaux,2033,42
39,false,,,,,18,GR,Grisons,Schluein (GR),2,CE,Conseil des Etats,1979-06-10T00:00:00,1979-06-20T00:00:00,1995-01-22T00:00:00,1979-06-20T00:00:00,1935-04-01T00:00:00,,1995-01-22T00:00:00,Luregn Mathias,m,43,,FR,Cavelty,,,,,,2015-05-17T21:18:19.387,,Cavelty,,,,,,,,,2205,43
40,false,,,,,22,VD,Vaud,Montherod (VD),1,CN,Conseil national,1991-11-25T00:00:00,1991-11-25T00:00:00,1995-06-16T00:00:00,1991-11-25T00:00:00,1946-05-12T00:00:00,,1995-06-16T00:00:00,Olivier,m,44,,FR,Chevallaz,,,,,,2015-05-17T21:18:19.387,,Chevallaz Olivier,,,,,,,,,2280,44
41,false,,,,,1,ZH,Zurich,Zurich (ZH),1,CN,Conseil national,1983-10-23T00:00:00,1983-11-28T00:00:00,1995-12-03T00:00:00,1983-11-28T00:00:00,1928-05-14T00:00:00,2004-10-30T00:00:00,1995-12-03T00:00:00,Ernst,m,45,,FR,Cincera,,,,,,2015-05-17T21:18:19.387,,Cincera,,,,,,15,PLR,PLR.Les Libéraux-Radicaux,2035,45
42,false,,,,Ilanz,18,GR,Grisons,Disentis/Mustér (GR),1,CN,Conseil national,1995-12-04T00:00:00,1995-12-04T00:00:00,1999-12-05T00:00:00,1995-12-04T00:00:00,1941-10-07T00:00:00,,1999-12-05T00:00:00,Dumeni,m,46,,FR,Columberg,"Gemeinde-Legislative von 1969 bis 1971, Gemeindepräsident von 1971 bis 1987, Grossrat von 1971 bis 1983",2,marié(e),,,2015-05-17T21:18:19.387,1,Columberg,,,,,,14,PDC,Parti démocrate-chrétien suisse,2036,46
43,false,,,,Saxon,23,VS,Valais,Vollèges (VS),1,CN,Conseil national,1995-12-04T00:00:00,1995-12-04T00:00:00,1999-12-05T00:00:00,1995-12-04T00:00:00,1939-02-20T00:00:00,,1999-12-05T00:00:00,Bernard,m,47,,FR,Comby,"Exécutif communal Saxon de 1973 à 1979, Grand Conseil du Valais de 1973 à 1979, Conseil d'Etat du Valais de 1979 à 1992",2,marié(e),1,Soldat,2015-05-17T21:18:19.387,2,Comby,,,,,,15,PLR,PLR.Les Libéraux-Radicaux,2281,47
44,false,,,,,27,TI,Tessin,Prato-Sornico (TI),1,CN,Conseil national,1979-11-26T00:00:00,1979-11-26T00:00:00,1993-10-08T00:00:00,1979-11-26T00:00:00,1929-11-03T00:00:00,,1993-10-08T00:00:00,Gianfranco,m,48,,FR,Cotti,,,,,,2015-05-17T21:18:19.387,,Cotti Gianfranco,,,,,,,,,2037,48
45,false,,,,Bellegarde,10,FR,Fribourg,Bellegarde (FR),2,CE,Conseil des Etats,1987-11-30T00:00:00,1987-11-30T00:00:00,2003-11-30T00:00:00,1987-11-30T00:00:00,1943-12-04T00:00:00,2006-11-03T00:00:00,2003-11-30T00:00:00,Anton,m,49,,FR,Cottier,"1982 à 1991 Conseil communal de Fribourg, 1976 à 1987 Député Grand Conseil fribourgeois,",2,marié(e),11,Capitaine,2015-05-17T21:18:19.387,3,Cottier Anton,,,,,,14,PDC,Parti démocrate-chrétien suisse,2206,49
46,false,,,,Martigny,23,VS,Valais,Martigny (VS),99,CF,Conseil fédéral,1998-03-11T00:00:00,1998-03-11T00:00:00,2009-10-31T00:00:00,1998-03-11T00:00:00,1942-04-05T00:00:00,,2009-10-31T00:00:00,Pascal,m,50,,FR,Couchepin,Exécutif communal Président,2,marié(e),11,Capitaine,2015-05-17T21:18:19.387,3,Couchepin Pascal,,,,,,15,PLR,PLR.Les Libéraux-Radicaux,2038,50
47,false,,,,,25,GE,Genève,Genève (GE),2,CE,Conseil des Etats,1991-11-25T00:00:00,1991-11-25T00:00:00,1995-12-03T00:00:00,1991-11-25T00:00:00,1936-03-11T00:00:00,,1995-12-03T00:00:00,Gilbert,m,51,,FR,Coutau,,,,,,2015-05-17T21:18:19.387,,Coutau,,,,,,,,,2039,51
48,false,,,,,2,BE,Berne,Oppligen (BE),1,CN,Conseil national,1988-02-29T00:00:00,1988-02-29T00:00:00,1994-06-30T00:00:00,1988-02-29T00:00:00,1938-08-20T00:00:00,,1994-06-30T00:00:00,Susanna,f,52,,FR,Daepp-Heiniger,,,,,,2015-05-17T21:18:19.387,,Daepp,,,,,,,,,2247,52
49,false,"Mitarbeit in diversen kulturellen, gesellschaftlichen und politischen Gremien",1991 bis 1995 Präsident des Obergerichtes Uri (Nebenamt),,Andermatt,4,UR,Uri,Andermatt (UR),2,CE,Conseil des Etats,1987-11-30T00:00:00,1987-11-30T00:00:00,1999-12-05T00:00:00,1987-11-30T00:00:00,1931-05-25T00:00:00,,1999-12-05T00:00:00,Hans,m,53,,FR,Danioth,"Gemeinderat von 1976 bis 1978, Landrat von 1972 bis 1978, Regierungsrat von 1978 bis 1988, Landammann von 1980 bis 1982, seit Dezember 1993 Gruppenchef CVP / SRP",2,marié(e),11,Capitaine,2015-05-17T21:18:19.387,2,Danioth Hans,,,,,,14,PDC,Parti démocrate-chrétien suisse,2207,53
50,false,,,,,20,TG,Thurgovie,"St-Gall (SG),Felsberg (GR)",1,CN,Conseil national,1987-10-18T00:00:00,1987-11-30T00:00:00,1995-12-03T00:00:00,1987-11-30T00:00:00,1951-07-31T00:00:00,2011-09-03T00:00:00,1995-12-03T00:00:00,Menga,f,54,,FR,Danuser,,,,,,2015-05-17T21:18:19.387,,Danuser,,,,,,12,PSS,Parti socialiste suisse,2040,54
51,false,,,,,23,VS,Valais,Liddes (VS),1,CN,Conseil national,1979-11-26T00:00:00,1979-11-26T00:00:00,1995-12-03T00:00:00,1979-11-26T00:00:00,1929-05-19T00:00:00,,1995-12-03T00:00:00,Vital,m,55,,FR,Darbellay,,,,,,2015-05-17T21:18:19.387,,Darbellay,,,,,,,,,2041,55
52,false,,,,Neuchâtel,25,GE,Genève,"St-Blaise (NE),Nendaz (VS)",1,CN,Conseil national,1995-12-04T00:00:00,1995-12-04T00:00:00,2003-11-30T00:00:00,1995-12-04T00:00:00,1943-11-04T00:00:00,,2003-11-30T00:00:00,Jean-Nils,m,56,,FR,de Dardel,,2,marié(e),,,2015-05-17T21:18:19.387,2,de Dardel Jean-Nils,,,,,,,,,2282,56
53,false,"Ehrenpräsident des ""Fonds Landschaft Schweiz (FLS)"": ab Juli 2004",,,St. Gall,17,SG,St-Gall,"St-Gall (SG),Amden (SG)",2,CE,Conseil des Etats,2007-11-25T00:00:00,2007-12-03T00:00:00,2011-12-04T00:00:00,2007-12-03T00:00:00,1945-09-03T00:00:00,,2011-12-04T00:00:00,Eugen,m,57,,FR,David,Gemeinderat der Stadt St. Gallen von 1972 bis 1980; Kantonsrat St. Gallen von 1980 bis 1988,2,marié(e),10,Premier-lieutenant,2015-05-17T21:18:19.387,,David,,,,,,14,PDC,Parti démocrate-chrétien suisse,2042,57
